action,addr,advpnsc,assignip,auditid,auditreporttype,auditscore,audittime,bandwidth,cookies,cpu,criticalcount,date,devid,devname,dhcp_msg,dir,disk,disklograte,duration,error_num,espauth,esptransform,eventtime,exch,fazlograte,freediskstorage,group,highcount,hostname,idseq,in_spi,init,interface,ip,itime,lease,level,locip,locport,logdesc,logid,logver,lowcount,mac,mediumcount,mem,mode,msg,name,nextstat,out_spi,outintf,passedcount,peer_notif,rcvdbyte,reason,remip,remport,result,role,sentbyte,seq,setuprate,spi,stage,status,subtype,sysuptime,time,total,totalsession,tunnelid,tunnelip,tunneltype,type,tz,ui,used,user,useralt,vd,version,vpntunnel,waninfo,xauthgroup,xauthuser
perf-stats,,,,,,,,1/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751790122497449890,,0,0,,,,19900372806008864,,,,,1751790124,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  42; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1150938,10:22:02,,42,,,,event,+0200,,,,,root,,,name=wan1;bytes=1566208736/6898180101;packets=8151065/10518402;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751790165499644710,,,,,,ArcherAX55,19900372806008885,,,internal1,10.63.44.101,1751790165,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:22:45,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751790275890134730,,,,,,ArcherAX55,19900372806008883,,,internal1,10.63.44.101,1751790277,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:24:36,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751790386280319990,,,,,,ArcherAX55,19900372806008896,,,internal1,10.63.44.101,1751790390,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:26:26,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,7/3,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751790422527400890,,0,0,,,,19900372806008845,,,,,1751790425,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  49; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1151238,10:27:03,,49,,,,event,+0200,,,,,root,,,name=wan1;bytes=1566509285/6898453149;packets=8152466/10519836;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751790496630739930,,,,,,ArcherAX55,19900372806008851,,,internal1,10.63.44.101,1751790499,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:28:17,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751790606991132370,,,,,,ArcherAX55,19900372806008851,,,internal1,10.63.44.101,1751790610,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:30:06,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1150988,,,,1751790685662907410,,,,N/A,,,19900372806008892,,,,,1751790686,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,190461264,,88.61.48.146,500,,,412570783,,,,,,vpn,,10:31:25,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751790717321453570,,,,,,ArcherAX55,19900372806008874,,,internal1,10.63.44.101,1751790722,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:31:57,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,1/4,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751790722547388030,,0,0,,,,19900372806008867,,,,,1751790725,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  44; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1151538,10:32:02,,44,,,,event,+0200,,,,,root,,,name=wan1;bytes=1566764775/6898651372;packets=8153741/10521166;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751790781277494910,,,,,,,19900372806008899,,,,,1751790782,,notice,,,FortiGate update succeeded,0100041000,0702111740,,,,,,Fortigate scheduled update fcni=yes fdni=yes fsci=yes from 173.243.140.6:443,,,,,,,,,,,,,,,,,,update,system,,10:33:02,,,,,,event,+0200,,,,,root,,,,,
update,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751790803703530330,,,,,,,19900372806008877,,,,,1751790804,,notice,,,Scanunit reloaded AV Database,0100022813,0702111740,,,,,,scanunit=manager pid=200 cause='signal' AV database reload requested 1 times by updated (pid 202) successful,,,,,,,,,,,,,,,,,,,system,,10:33:23,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751790827651730890,,,,,,ArcherAX55,19900372806008868,,,internal1,10.63.44.101,1751790830,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:33:48,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751790938012120430,,,,,,ArcherAX55,19900372806008840,,,internal1,10.63.44.101,1751790939,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:35:38,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,4/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751791022567439730,,0,0,,,,19900372806008906,,,,,1751791023,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  56; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1151838,10:37:03,,56,,,,event,+0200,,,,,root,,,name=wan1;bytes=1567049781/6898896993;packets=8155099/10522541;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751791048402405610,,,,,,ArcherAX55,19900372806008888,,,internal1,10.63.44.101,1751791048,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:37:28,,,,,,event,+0200,,,,,root,,,,,
negotiate,,0,N/A,,,,,,516d437431537959/0000000000000000,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,inbound,,,,,,,1751791072648315470,SA_INIT,,,N/A,,,19900372806008841,,remote,,,1751791074,,error,93.64.253.210,500,Progress IPsec phase 1,0101037128,0702111740,,,,,,progress IPsec phase 1,,,,wan1,,,,,174.164.132.83,53926,ERROR,responder,,,,,,failure,vpn,,10:37:53,,,,,,event,+0200,,,N/A,N/A,root,IKEv2,N/A,,N/A,N/A
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751791158752754930,,,,,,ArcherAX55,19900372806008868,,,internal1,10.63.44.101,1751791160,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:39:19,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751791269093112630,,,,,,ArcherAX55,19900372806008874,,,internal1,10.63.44.101,1751791269,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:41:09,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1151588,,,,1751791285672907270,,,,N/A,,,19900372806008886,,,,,1751791288,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,190533528,,88.61.48.146,500,,,412723799,,,,,,vpn,,10:41:26,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
perf-stats,,,,,,,,1/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751791322597475150,,0,0,,,,19900372806008860,,,,,1751791324,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  59; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1152138,10:42:03,,59,,,,event,+0200,,,,,root,,,name=wan1;bytes=1567323739/6899098208;packets=8156431/10523919;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751791379443448190,,,,,,ArcherAX55,19900372806008896,,,internal1,10.63.44.101,1751791380,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:42:59,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751791489764048070,,,,,,ArcherAX55,19900372806008880,,,internal1,10.63.44.101,1751791490,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:44:50,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751791600164178970,,,,,,ArcherAX55,19900372806008886,,,internal1,10.63.44.101,1751791601,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:46:40,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,2/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751791622617412750,,0,0,,,,19900372806008832,,,,,1751791625,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  56; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1152438,10:47:02,,56,,,,event,+0200,,,,,root,,,name=wan1;bytes=1567615226/6899337424;packets=8157809/10525355;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751791710544492430,,,,,,ArcherAX55,19900372806008878,,,internal1,10.63.44.101,1751791711,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:48:30,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751791820980403311,,,,,,ArcherAX55,19900372806008856,,,internal1,10.63.44.101,1751791822,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:50:21,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1152188,,,,1751791885682904689,,,,N/A,,,19900372806008845,,,,,1751791887,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,190606972,,88.61.48.146,500,,,412933139,,,,,,vpn,,10:51:26,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
perf-stats,,,,,,,,7/4,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751791922637405169,,0,0,,,,19900372806008930,,,,,1751791924,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  69; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1152738,10:52:02,,69,,,,event,+0200,,,,,root,,,name=wan1;bytes=1567988279/6900953458;packets=8159844/10527798;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751791931327225889,,,,,,ArcherAX55,19900372806008864,,,internal1,10.63.44.101,1751791932,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:52:11,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751792041707612769,,,,,,ArcherAX55,19900372806008875,,,internal1,10.63.44.101,1751792042,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:54:01,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751792152037944869,,,,,,ArcherAX55,19900372806008856,,,internal1,10.63.44.101,1751792153,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:55:52,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,1/1,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751792222657433189,,0,0,,,,19900372806008896,,,,,1751792223,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  59; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1153038,10:57:02,,59,,,,event,+0200,,,,,root,,,name=wan1;bytes=1568301622/6901220653;packets=8161285/10529275;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751792262428362089,,,,,,ArcherAX55,19900372806008854,,,internal1,10.63.44.101,1751792263,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:57:42,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751792280483012309,,,,,,,19900372806008862,,,internal1,,1751792283,,information,,,DHCP statistics,0100026003,0702111740,,,,,,DHCP statistics,,,,,,,,,,,,,,,,,,,system,,10:58:00,51,,,,,event,+0200,,3,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751792372788649289,,,,,,ArcherAX55,19900372806008869,,,internal1,10.63.44.101,1751792373,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,10:59:33,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751792483148933529,,,,,,ArcherAX55,19900372806008842,,,internal1,10.63.44.101,1751792484,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,11:01:24,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1152788,,,,1751792485692908809,,,,N/A,,,19900372806008859,,,,,1751792486,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,190677786,,88.61.48.146,500,,,413110755,,,,,,vpn,,11:01:26,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
perf-stats,,,,,,,,3/10,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751792522667443049,,0,0,,,,19900372806008868,,,,,1751792524,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  50; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1153338,11:02:02,,50,,,,event,+0200,,,,,root,,,name=wan1;bytes=1568582199/6901426544;packets=8162594/10530658;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751792593539372889,,,,,,ArcherAX55,19900372806008864,,,internal1,10.63.44.101,1751792594,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,11:03:13,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751792611957848469,,,,,,,19900372806008867,,,,,1751792614,,notice,,,FortiGate update succeeded,0100041000,0702111740,,,,,,Fortigate scheduled update fcni=yes fdni=yes fsci=yes virdb(93.04406) etdb(93.04406) avai(4.02310) mmdb(93.04406) from 173.243.142.6:443,,,,,,,,,,,,,,,,,,update,system,,11:03:33,,,,,,event,+0200,,,,,root,,,,,
update,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751792636285778249,,,,,,,19900372806008861,,,,,1751792639,,notice,,,Scanunit reloaded AV Database,0100022813,0702111740,,,,,,scanunit=manager pid=200 cause='signal' AV database reload requested 1 times by updated (pid 202) successful,,,,,,,,,,,,,,,,,,,system,,11:03:56,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751792703909714369,,,,,,ArcherAX55,19900372806008876,,,internal1,10.63.44.101,1751792704,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,11:05:04,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751792814301350169,,,,,,ArcherAX55,19900372806008852,,,internal1,10.63.44.101,1751792815,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,11:06:55,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,2/3,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751792822687368729,,0,0,,,,19900372806008849,,,,,1751792823,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  50; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1153638,11:07:03,,50,,,,event,+0200,,,,,root,,,name=wan1;bytes=1568889553/6901742442;packets=8164025/10532129;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751792924690357249,,,,,,ArcherAX55,19900372806008851,,,internal1,10.63.44.101,1751792925,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,11:08:45,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751793035050759769,,,,,,ArcherAX55,19900372806008861,,,internal1,10.63.44.101,1751793035,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,11:10:35,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1153388,,,,1751793085702916909,,,,N/A,,,19900372806008857,,,,,1751793091,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,190778656,,88.61.48.146,500,,,413291655,,,,,,vpn,,11:11:26,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
,,,,1751793089012,OptimizationReport,95.0,1751793091,,,,0,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751793091532077229,,,,,0,,19900372806008879,,,,,1751793095,,notice,,,Security Rating summary,0110052000,0702111740,2,,0,,,,,,,,7,,,,,,,,,,,,,,security-rating,,11:11:31,,,,,,event,+0200,,,,,root,,,,,
,,,,1751793089012,CoverageReport,82.3,1751793091,,,,3,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751793091555118389,,,,,1,,19900372806008880,,,,,1751793095,,notice,,,Security Rating summary,0110052000,0702111740,0,,0,,,,,,,,14,,,,,,,,,,,,,,security-rating,,11:11:31,,,,,,event,+0200,,,,,root,,,,,
,,,,1751793089012,CoverageReport,42.3,1751793091,,,,0,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751793091555157569,,,,,0,,19900372806008881,,,,,1751793095,,notice,,,Security Rating result change,0110052001,0702111740,0,,0,,,,,,,,2,,,,,,,,,,,,,,security-rating,,11:11:31,,,,,,event,+0200,,,,,root,,,,,
,,,,1751793089012,PostureReport,109.5,1751793092,,,,3,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751793092884552569,,,,,3,,19900372806008882,,,,,1751793095,,notice,,,Security Rating summary,0110052000,0702111740,0,,4,,,,,,,,18,,,,,,,,,,,,,,security-rating,,11:11:33,,,,,,event,+0200,,,,,root,,,,,
,,,,1751793089012,PostureReport,4.5,1751793092,,,,0,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751793092884589969,,,,,0,,19900372806008883,,,,,1751793095,,notice,,,Security Rating result change,0110052001,0702111740,0,,2,,,,,,,,2,,,,,,,,,,,,,,security-rating,,11:11:33,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,1/3,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751793122707325109,,0,0,,,,19900372806008878,,,,,1751793125,,notice,,,System performance statistics,0100040704,0702111740,,,,41,,Performance statistics: average CPU: 0; memory:  41; concurrent sessions:  50; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1153938,11:12:03,,50,,,,event,+0200,,,,,root,,,name=wan1;bytes=1569321369/6902102649;packets=8165620/10533713;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751793145451760689,,,,,,ArcherAX55,19900372806008871,,,internal1,10.63.44.101,1751793145,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,11:12:25,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751793255861401489,,,,,,ArcherAX55,19900372806008865,,,internal1,10.63.44.101,1751793256,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,11:14:16,,,,,,event,+0200,,,,,root,,,,,
,FCTEMS_ALL_FORTICLOUD_SERVERS,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751793332550893349,,,,,,,19900372806008868,,,,,1751793335,,information,,,Dynamic address updated.,0112053203,0702111740,,,,,,Updated tag FCTEMS_ALL_FORTICLOUD_SERVERS,,,,,,,,,,,,,,,,,,,connector,,11:15:32,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751793366211763409,,,,,,ArcherAX55,19900372806008844,,,internal1,10.63.44.101,1751793369,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,11:16:07,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,2/3,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751793422717427409,,0,0,,,,19900372806008838,,,,,1751793425,,notice,,,System performance statistics,0100040704,0702111740,,,,41,,Performance statistics: average CPU: 0; memory:  41; concurrent sessions:  55; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1154238,11:17:03,,55,,,,event,+0200,,,,,root,,,name=wan1;bytes=1569606140/6902335732;packets=8166969/10535085;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751793476632057229,,,,,,ArcherAX55,19900372806008885,,,internal1,10.63.44.101,1751793477,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,11:17:57,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751793587052694809,,,,,,ArcherAX55,19900372806008863,,,internal1,10.63.44.101,1751793587,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,11:19:47,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1153988,,,,1751793685712906949,,,,N/A,,,19900372806008844,,,,,1751793686,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,190986986,,88.61.48.146,500,,,413589801,,,,,,vpn,,11:21:26,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
